id,brand,model,model_name,screen_size,screen_type,resolution,refresh_rate,chipset,cpu_cores,gpu,ram,storage,storage_expandable,rear_camera_main,rear_camera_count,rear_camera_specs,front_camera,video,battery_capacity,charging_wired,charging_wireless,fast_charging,os,network_5g,sim_type,weight,dimensions,water_resistance,material,fingerprint,face_unlock,nfc,infrared,headphone_jack,launch_date,source
apple_iphone16promax,Apple,iPhone 16 Pro Max,iPhone 16 Pro Max,6.9英寸,OLED,2868x1320,120Hz,A18 Pro,6核,Apple 6核GPU,8GB,256GB,False,48MP,3,48MP主摄+48MP超广角+12MP长焦,12MP,4K@120fps,4685mAh,45W,25W MagSafe,True,iOS 18,True,Nano-SIM + eSIM,227g,163.0x77.6x8.3mm,IP68,钛金属,无,True,True,False,False,2024-09-20,jd.com
apple_iphone16,Apple,iPhone 16,iPhone 16,6.1英寸,OLED,2556x1179,60Hz,A18,6核,Apple 5核GPU,8GB,128GB,False,48MP,2,48MP主摄+12MP超广角,12MP,4K@60fps,3561mAh,45W,25W MagSafe,True,iOS 18,True,Nano-SIM + eSIM,170g,147.6x71.6x7.8mm,IP68,铝金属,无,True,True,False,False,2024-09-20,jd.com
samsung_galaxys24ultra,Samsung,Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,6.8英寸,Dynamic AMOLED 2X,3120x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,200MP,4,200MP主摄+12MP超广角+10MP长焦+50MP潜望,12MP,8K@30fps,5000mAh,45W,15W,True,Android 14,True,Nano-SIM + eSIM,232g,162.3x79.0x8.6mm,IP68,钛金属,屏下超声波,True,True,False,False,2024-01-31,jd.com
xiaomi_14ultra,Xiaomi,14 Ultra,Xiaomi 14 Ultra,6.73英寸,AMOLED,3200x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,4,50MP主摄+50MP超广角+50MP长焦+50MP潜望,32MP,8K@24fps,5300mAh,90W,80W,True,"Android 14, HyperOS",True,Nano-SIM,224g,161.4x75.3x9.2mm,IP68,素皮/陶瓷,屏下光学,True,True,True,False,2024-02-25,jd.com
huawei_mate60pro,Huawei,Mate 60 Pro,Huawei Mate 60 Pro,6.82英寸,OLED,2720x1260,120Hz,Kirin 9000S,8核,Maleoon 910,12GB,512GB,True,50MP,3,50MP主摄+12MP超广角+48MP潜望长焦,13MP,4K@60fps,5000mAh,88W,50W,True,HarmonyOS 4.0,True,Nano-SIM,225g,163.7x79.0x8.1mm,IP68,金属+玻璃,屏下光学,True,True,True,False,2023-08-29,jd.com
oppo_findx7ultra,OPPO,Find X7 Ultra,OPPO Find X7 Ultra,6.82英寸,AMOLED,3168x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,4,50MP主摄+50MP超广角+50MP潜望+50MP特写潜望,32MP,4K@60fps,5000mAh,100W,50W,True,"Android 14, ColorOS",True,Nano-SIM,221g,164.3x76.2x9.5mm,IP68,素皮+玻璃,屏下光学,True,True,True,False,2024-01-08,jd.com
vivo_x100pro,vivo,X100 Pro,vivo X100 Pro,6.78英寸,AMOLED,2800x1260,120Hz,Dimensity 9300,8核,Immortalis-G720,16GB,512GB,False,50MP,3,50MP主摄+50MP超广角+50MP潜望长焦,32MP,8K@30fps,5400mAh,100W,50W,True,"Android 14, OriginOS",True,Nano-SIM,225g,164.1x75.3x9.1mm,IP68,素皮/玻璃,屏下光学,True,True,True,False,2024-01-15,jd.com
honor_magic6pro,Honor,Magic6 Pro,Honor Magic6 Pro,6.8英寸,OLED,2800x1280,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,3,50MP主摄+50MP超广角+180MP潜望长焦,50MP,4K@60fps,5600mAh,80W,66W,True,"Android 14, MagicOS",True,Nano-SIM,229g,162.5x75.8x8.9mm,IP68,素皮/玻璃,屏下光学,True,True,True,False,2024-01-11,jd.com
oneplus_12,OnePlus,12,OnePlus 12,6.82英寸,AMOLED,3168x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,3,50MP主摄+48MP超广角+64MP潜望长焦,32MP,8K@24fps,5400mAh,100W,50W,True,"Android 14, OxygenOS/ColorOS",True,Nano-SIM,220g,164.3x75.8x9.2mm,IP65,玻璃+金属,屏下光学,True,True,True,False,2024-01-23,jd.com
realme_gt5pro,Realme,GT5 Pro,Realme GT5 Pro,6.78英寸,AMOLED,2780x1264,144Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,3,50MP主摄+8MP超广角+50MP潜望长焦,32MP,8K@24fps,5400mAh,100W,50W,True,"Android 14, realme UI",True,Nano-SIM,224g,161.7x75.1x9.2mm,IP64,素皮/玻璃,屏下光学,True,True,True,False,2024-01-10,jd.com
samsung_galaxys25ultra,Samsung,Galaxy S25 Ultra,Samsung Galaxy S25 Ultra,6.9英寸,Dynamic AMOLED 2X,3120x1440,120Hz,Snapdragon 8 Gen 4,8核,Adreno 830,12GB,256GB,False,200MP,4,200MP主摄+50MP超广角+10MP长焦+50MP潜望,12MP,8K@30fps,5000mAh,45W,25W,True,Android 15,True,Nano-SIM + eSIM,219g,162.8x77.6x8.2mm,IP68,钛金属,屏下超声波,True,True,False,False,2025-01-22,seed
apple_iphone16pro,Apple,iPhone 16 Pro,iPhone 16 Pro,6.3英寸,OLED,2622x1206,120Hz,A18 Pro,6核,Apple 6核GPU,8GB,128GB,False,48MP,3,48MP主摄+48MP超广角+12MP长焦,12MP,4K@120fps,3582mAh,45W,25W MagSafe,True,iOS 18,True,Nano-SIM + eSIM,199g,149.6x71.5x8.3mm,IP68,钛金属,无,True,True,False,False,2024-09-20,seed
google_pixel9pro,Google,Pixel 9 Pro,Google Pixel 9 Pro,6.3英寸,OLED,2856x1280,120Hz,Google Tensor G4,8核,Mali-G715,16GB,128GB,False,50MP,3,50MP主摄+48MP超广角+48MP长焦,42MP,8K@30fps,4700mAh,27W,23W,True,Android 14,True,Nano-SIM + eSIM,199g,152.8x72.0x8.5mm,IP68,玻璃+金属,屏下光学,True,True,False,False,2024-10-15,seed
huawei_pura70ultra,Huawei,Pura 70 Ultra,Huawei Pura 70 Ultra,6.8英寸,OLED,2844x1260,120Hz,Kirin 9010,8核,Maleoon 920,16GB,512GB,True,50MP,3,50MP主摄+40MP超广角+50MP潜望长焦,13MP,4K@60fps,5200mAh,100W,80W,True,HarmonyOS 4.2,True,Nano-SIM,226g,162.6x75.1x8.4mm,IP68,素皮,屏下光学,True,True,True,False,2024-04-18,seed
xiaomi_15pro,Xiaomi,15 Pro,Xiaomi 15 Pro,6.73英寸,AMOLED,3200x1440,120Hz,Snapdragon 8 Gen 4,8核,Adreno 830,16GB,512GB,False,50MP,3,50MP主摄+50MP超广角+50MP潜望长焦,32MP,8K@30fps,6100mAh,120W,80W,True,"Android 15, HyperOS 2",True,Nano-SIM,225g,161.3x75.3x8.4mm,IP68,陶瓷/素皮,屏下超声波,True,True,True,False,2024-10-29,seed
oppo_findx8pro,OPPO,Find X8 Pro,OPPO Find X8 Pro,6.78英寸,AMOLED,2780x1264,120Hz,Dimensity 9400,8核,Immortalis-G925,16GB,512GB,False,50MP,4,50MP主摄+50MP超广角+50MP潜望+50MP长焦,32MP,4K@60fps,5910mAh,80W,50W,True,"Android 15, ColorOS 15",True,Nano-SIM,215g,162.3x76.3x8.2mm,IP69,玻璃+金属,屏下超声波,True,True,True,False,2024-10-24,seed
vivo_x200pro,vivo,X200 Pro,vivo X200 Pro,6.78英寸,AMOLED,2800x1260,120Hz,Dimensity 9400,8核,Immortalis-G925,16GB,512GB,False,50MP,3,50MP主摄+50MP超广角+200MP潜望长焦,32MP,8K@30fps,6000mAh,90W,30W,True,"Android 15, OriginOS 5",True,Nano-SIM,223g,162.1x76.0x8.5mm,IP69,玻璃+金属,屏下超声波,True,True,True,False,2024-10-14,seed
samsung_galaxys25,Samsung,Galaxy S25,Galaxy S25,6.2英寸,Dynamic LTPO AMOLED 2X,2340x1080,120Hz,Snapdragon 8 Elite,8核,Adreno 830,12GB,128GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,12MP,8K@30fps,4000mAh,25W,15W,True,Android 15,True,Nano-SIM+eSIM,162g,146.9x70.5x7.2mm,IP68,玻璃面板+玻璃背板+铝合金边框,超声波屏下,True,True,False,False,2025-01,samsung.com
samsung_galaxyzfold7,Samsung,Galaxy Z Fold 7,Galaxy Z Fold 7,7.8英寸,Foldable Dynamic LTPO AMOLED 2X,2176x1812,120Hz,Snapdragon 8 Elite Gen 2,8核,Adreno 840,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,10MP,8K@30fps,4400mAh,45W,25W,True,Android 16,True,Nano-SIM+eSIM,239g,155.1x130.1x5.6mm(展开),IP48,玻璃面板+玻璃背板+铝合金边框,侧边,True,True,False,False,2025-07,samsung.com
google_pixel10pro,Google,Pixel 10 Pro,Pixel 10 Pro,6.3英寸,LTPO OLED,2856x1280,120Hz,Tensor G5,8核,Mali-G715,16GB,128GB,False,50MP,3摄,50MP主摄(OIS)+48MP潜望长焦(5x)+48MP超广角,42MP,8K@30fps,4870mAh,30W,23W,True,Android 16,True,Nano-SIM+eSIM,207g,152.8x72x8.5mm,IP68,玻璃面板+玻璃背板+铝合金边框,超声波屏下,True,True,False,False,2025-08,store.google.com
google_pixel10,Google,Pixel 10,Pixel 10,6.3英寸,OLED,2424x1080,120Hz,Tensor G5,8核,Mali-G715,12GB,128GB,False,50MP,2摄,50MP主摄(OIS)+48MP超广角,10.5MP,4K@60fps,4700mAh,27W,15W,True,Android 16,True,Nano-SIM+eSIM,192g,152.8x72x8.9mm,IP68,玻璃面板+玻璃背板+铝合金边框,屏下光学,True,True,False,False,2025-08,store.google.com
google_pixel9a,Google,Pixel 9a,Pixel 9a,6.3英寸,OLED,2424x1080,120Hz,Tensor G4,8核,Mali-G715,8GB,128GB,False,48MP,2摄,48MP主摄(OIS)+13MP超广角,13MP,4K@60fps,5100mAh,23W,7.5W,True,Android 15,True,Nano-SIM+eSIM,193g,154.7x73.2x8.9mm,IP67,塑料背板+铝合金边框,屏下光学,True,True,False,False,2025-03,store.google.com
